Updated,Type,Module,Source,F/P,Data
2022-11-09 07:37:33,DOMAIN_REGISTRAR,sfp_whois,sibindustry.ru,0,R01-RU
2022-11-03 11:53:19,DOMAIN_REGISTRAR,sfp_whois,reg.ru,0,REGRU-RU
2022-11-03 11:54:59,DOMAIN_REGISTRAR,sfp_whois,gtmail.ru,0,REGRU-RU
2022-11-02 19:43:48,DOMAIN_REGISTRAR,sfp_whois,rt.ru,0,RU-CENTER-RU
2022-11-03 11:40:28,DOMAIN_REGISTRAR,sfp_whois,sendsay.ru,0,RU-CENTER-RU
2022-11-03 11:50:03,DOMAIN_REGISTRAR,sfp_whois,a-3.ru,0,RU-CENTER-RU
2022-11-03 11:53:45,DOMAIN_REGISTRAR,sfp_whois,orel.ru,0,RU-CENTER-RU
2022-11-03 11:54:44,DOMAIN_REGISTRAR,sfp_whois,gorny.ru,0,RU-CENTER-RU
